 Index	Year	Decade
510	2012	2010
511	2012	2010
512	2012	2010
513	2012	2010
514	2012	2010
515	2012	2010
516	2012	2010
517	2012	2010
518	2012	2010
519	2012	2010
520	2012	2010
521	2013	2010
522	2013	2010
523	2013	2010
524	2013	2010
525	2013	2010
526	2013	2010
527	2013	2010
528	2013	2010
529	2013	2010
530	2013	2010
531	2013	2010
532	2013	2010
533	2013	2010
534	2013	2010
535	2013	2010
536	2013	2010
537	2013	2010
538	2013	2010
539	2013	2010
540	2013	2010
541	2013	2010
542	2013	2010
543	2013	2010
544	2013	2010
545	2013	2010
546	2013	2010
547	2013	2010
548	2013	2010
549	2013	2010
550	2013	2010
551	2013	2010
552	2013	2010
553	2013	2010
554	2013	2010
555	2013	2010
556	2013	2010
557	2013	2010
558	2013	2010
559	2013	2010
560	2013	2010
561	2013	2010
562	2014	2010
563	2014	2010
564	2014	2010
565	2014	2010
566	2014	2010
567	2014	2010
568	2014	2010
569	2014	2010
570	2014	2010
571	2014	2010
572	2014	2010
573	2014	2010
574	2014	2010
575	2014	2010
576	2014	2010
577	2014	2010
578	2014	2010
579	2014	2010
580	2014	2010
581	2014	2010
582	2014	2010
583	2014	2010
584	2014	2010
585	2014	2010
586	2014	2010
587	2014	2010
588	2014	2010
589	2014	2010
590	2014	2010
591	2014	2010
592	2014	2010
593	2014	2010
594	2014	2010
595	2014	2010
596	2014	2010
597	2014	2010
598	2014	2010
599	2014	2010
600	2014	2010
601	2014	2010
602	2014	2010
603	2014	2010
604	2014	2010
605	2015	2020
606	2015	2020
607	2015	2020
608	2015	2020
609	2015	2020
610	2015	2020
611	2015	2020
612	2015	2020
613	2015	2020
614	2015	2020
615	2015	2020
616	2015	2020
617	2015	2020
618	2015	2020
619	2015	2020
620	2015	2020
621	2015	2020
622	2015	2020
623	2015	2020
624	2015	2020
625	2015	2020
626	2015	2020
627	2015	2020
628	2015	2020
629	2015	2020
630	2015	2020
631	2015	2020
632	2015	2020
633	2015	2020
634	2015	2020
635	2015	2020
636	2015	2020
637	2015	2020
638	2015	2020
639	2015	2020
640	2015	2020
641	2015	2020
642	2015	2020
643	2015	2020
644	2015	2020
645	2015	2020
646	2015	2020
647	2016	2020
648	2016	2020
649	2016	2020
650	2016	2020
651	2016	2020
652	2016	2020
653	2016	2020
654	2016	2020
655	2016	2020
656	2016	2020
657	2016	2020
658	2016	2020
659	2016	2020
660	2016	2020
661	2016	2020
662	2016	2020
663	2016	2020
664	2016	2020
665	2016	2020
666	2016	2020
667	2016	2020
668	2016	2020
669	2016	2020
670	2016	2020
671	2016	2020
672	2016	2020
673	2016	2020
674	2016	2020
675	2016	2020
676	2016	2020
677	2016	2020
678	2016	2020
679	2016	2020
680	2016	2020
681	2016	2020
