 Index	Year	Decade
1761	1998	2000
1762	1998	2000
1763	1998	2000
1764	1998	2000
1765	1998	2000
1766	1998	2000
1767	1998	2000
1768	1998	2000
1769	1998	2000
1770	1998	2000
1771	1998	2000
1772	1998	2000
1773	1998	2000
1774	1998	2000
1775	1998	2000
1776	1998	2000
1777	1998	2000
1778	1998	2000
1779	1998	2000
1780	1998	2000
1781	1998	2000
1782	1998	2000
1783	1998	2000
1784	1998	2000
1785	1998	2000
1786	1998	2000
1787	1998	2000
1788	1998	2000
1789	1998	2000
1790	1998	2000
1791	1998	2000
1792	1998	2000
1793	1998	2000
1794	1998	2000
1795	1998	2000
1796	1998	2000
1797	1998	2000
1798	1998	2000
1799	1999	2000
1800	1999	2000
1801	1999	2000
1802	1999	2000
1803	1999	2000
1804	1999	2000
1805	1999	2000
1806	1999	2000
1807	1999	2000
1808	1999	2000
1809	1999	2000
1810	1999	2000
1811	1999	2000
1812	1999	2000
1813	1999	2000
1814	1999	2000
1815	1999	2000
1816	1999	2000
1817	1999	2000
1818	1999	2000
1819	1999	2000
1820	1999	2000
1821	1999	2000
1822	1999	2000
1823	1999	2000
1824	1999	2000
1825	1999	2000
1826	1999	2000
1827	1999	2000
1828	1960	1960
1829	1961	1960
1830	1962	1960
1831	1962	1960
1832	1962	1960
1833	1963	1960
1834	1963	1960
1835	1963	1960
1836	1963	1960
1837	1963	1960
1838	1963	1960
1839	1963	1960
1840	1964	1960
1841	1964	1960
1842	1964	1960
1843	1964	1960
1844	1964	1960
1845	1964	1960
1846	1964	1960
1847	1964	1960
1848	1964	1960
1849	1965	1970
1850	1965	1970
1851	1965	1970
1852	1965	1970
1853	1965	1970
1854	1965	1970
1855	1965	1970
1856	1965	1970
1857	1965	1970
1858	1965	1970
1859	1965	1970
1860	1965	1970
1861	1965	1970
1862	1965	1970
1863	1965	1970
1864	1966	1970
1865	1966	1970
1866	1966	1970
1867	1966	1970
1868	1966	1970
1869	1966	1970
1870	1966	1970
1871	1966	1970
1872	1966	1970
1873	1966	1970
1874	1966	1970
1875	1966	1970
1876	1966	1970
1877	1966	1970
1878	1966	1970
1879	1966	1970
1880	1966	1970
1881	1966	1970
1882	1966	1970
